Acc_ID,Friend_ID,Date
92,579,2022-12-22
267,317,2022-04-22
460,159,2022-12-02
380,321,2023-01-15
900,501,2022-12-14
261,852,2023-01-14
315,343,2022-07-04
280,590,2022-11-21
473,125,2022-11-12
129,212,2022-05-16
508,150,2022-11-27
390,498,2023-01-05
82,408,2022-06-19
341,64,2022-08-13
991,987,2023-03-09
165,816,2022-05-11
437,748,2022-12-31
197,779,2023-03-02
426,282,2022-11-10
283,827,2023-01-31
210,948,2023-03-01
572,625,2022-09-18
775,797,2023-04-03
823,96,2023-03-06
698,489,2023-01-28
890,718,2022-07-31
23,991,2023-04-02
793,127,2023-03-15
280,238,2023-03-17
171,65,2022-04-23
917,2,2022-06-06
441,326,2022-09-18
365,906,2022-12-11
389,484,2022-07-21
399,182,2022-08-16
340,675,2022-05-18
784,47,2022-06-20
430,848,2022-11-21
217,335,2022-04-22
724,949,2022-08-11
774,827,2022-06-24
228,92,2022-11-12
509,902,2022-11-23
247,453,2022-06-04
889,225,2022-11-05
207,869,2022-12-23
627,26,2022-11-24
752,938,2023-03-22
320,153,2022-04-20
134,301,2023-01-06
697,190,2022-07-06
110,672,2023-04-18
246,81,2022-07-09
220,680,2022-10-27
132,946,2022-09-26
21,567,2022-08-17
268,776,2022-06-15
9,832,2022-10-19
749,426,2022-08-16
428,150,2023-04-13
358,482,2022-08-13
905,73,2022-11-13
121,450,2022-11-01
491,859,2022-10-25
332,228,2022-09-15
96,169,2022-12-25
684,407,2022-11-24
760,296,2023-01-30
409,622,2023-01-06
252,658,2022-07-18
907,309,2023-01-23
906,974,2022-05-01
465,272,2022-05-21
657,850,2023-03-22
86,556,2023-01-17
471,366,2022-08-11
319,937,2022-05-05
367,184,2023-04-07
138,193,2022-06-27
17,290,2023-02-22
248,413,2023-03-15
392,170,2023-02-24
53,999,2022-10-12
699,473,2023-01-27
168,819,2022-11-13
623,677,2022-05-04
285,503,2022-12-04
563,348,2023-03-10
366,835,2022-10-14
1,996,2023-01-09
940,148,2023-03-14
686,121,2022-05-12
100,161,2023-01-04
979,703,2023-02-01
884,275,2023-04-08
110,380,2022-07-12
336,973,2022-08-03
448,253,2022-11-04
573,243,2022-08-04
