Acc_ID,Friend_ID,Date
43,45,2023-04-18
69,70,2022-10-24
35,7,2023-04-03
25,1,2022-06-11
11,60,2022-11-17
31,100,2022-12-31
98,97,2022-09-12
40,96,2022-10-18
28,92,2023-01-18
94,19,2022-06-13
48,7,2022-12-15
92,38,2022-09-02
98,56,2023-01-27
90,76,2023-02-25
47,35,2023-04-06
68,21,2022-06-29
72,92,2022-05-24
43,21,2022-07-12
88,65,2023-01-26
81,44,2022-11-14
63,90,2022-05-31
96,51,2022-11-30
48,60,2023-02-25
98,82,2023-04-05
25,84,2022-07-17
19,84,2022-11-18
98,79,2022-12-17
40,66,2023-02-23
44,18,2022-07-01
19,18,2022-05-02
81,11,2022-08-20
67,83,2022-08-12
14,33,2022-04-21
53,84,2022-09-02
87,9,2022-08-13
5,53,2022-11-22
85,96,2022-06-10
60,72,2023-04-18
77,66,2023-03-09
7,7,2022-12-30
6,56,2022-11-08
13,94,2022-11-08
95,5,2022-05-03
76,36,2022-09-19
80,72,2022-08-15
45,13,2022-05-05
92,87,2023-01-02
63,25,2022-11-10
84,54,2022-12-24
29,32,2022-12-30
69,43,2022-07-02
84,54,2022-05-04
62,53,2023-02-05
4,26,2022-11-29
36,74,2022-09-24
31,88,2023-04-19
54,30,2022-04-22
92,55,2023-03-30
18,56,2022-11-10
42,31,2022-10-20
33,13,2022-04-26
45,32,2023-02-06
19,19,2022-06-20
97,73,2023-03-07
20,40,2023-02-27
71,50,2022-08-06
53,71,2022-07-24
13,7,2022-07-28
53,90,2022-08-02
99,75,2023-01-20
34,79,2022-12-24
51,88,2022-07-28
79,52,2022-07-04
68,36,2022-04-23
72,33,2022-05-05
4,43,2022-09-01
56,3,2023-02-01
3,44,2022-04-30
98,4,2022-09-25
60,65,2023-03-04
37,43,2023-01-25
76,99,2022-10-04
45,39,2022-05-26
19,27,2023-01-14
62,80,2022-08-27
46,16,2022-05-26
42,71,2022-08-17
56,50,2022-06-08
63,78,2023-01-01
76,98,2022-07-12
42,76,2022-08-21
67,23,2022-08-21
70,26,2023-01-17
15,89,2022-10-17
42,50,2023-03-02
40,59,2022-07-18
81,40,2022-09-08
41,79,2023-01-07
45,61,2023-02-26
84,95,2023-02-06
